created_at,quote_count,reply_count,retweet_count,favorite_count
2009-03-31 00:00:00+00:00,0,0,1,0
2009-04-01 00:00:00+00:00,0,0,0,0
2009-04-02 00:00:00+00:00,0,0,0,0
2009-04-03 00:00:00+00:00,0,0,0,0
2009-04-04 00:00:00+00:00,0,0,0,0
2009-04-05 00:00:00+00:00,0,0,0,0
2009-04-06 00:00:00+00:00,0,0,0,0
2009-04-07 00:00:00+00:00,0,0,0,0
2009-04-08 00:00:00+00:00,0,0,0,0
2009-04-09 00:00:00+00:00,0,0,0,0
2009-04-10 00:00:00+00:00,0,0,0,0
2009-04-11 00:00:00+00:00,0,0,0,0
2009-04-12 00:00:00+00:00,0,0,0,0
2009-04-13 00:00:00+00:00,0,0,0,0
2009-04-14 00:00:00+00:00,0,0,0,0
2009-04-15 00:00:00+00:00,0,0,0,0
2009-04-16 00:00:00+00:00,0,0,0,0
2009-04-17 00:00:00+00:00,0,0,0,0
2009-04-18 00:00:00+00:00,0,0,0,0
2009-04-19 00:00:00+00:00,0,0,0,0
2009-04-20 00:00:00+00:00,0,0,0,0
2009-04-21 00:00:00+00:00,0,0,0,0
2009-04-22 00:00:00+00:00,0,0,0,0
2009-04-23 00:00:00+00:00,0,0,0,0
2009-04-24 00:00:00+00:00,0,0,0,0
2009-04-25 00:00:00+00:00,0,0,0,0
2009-04-26 00:00:00+00:00,0,0,0,0
2009-04-27 00:00:00+00:00,0,0,0,0
2009-04-28 00:00:00+00:00,0,0,1,0
2009-04-29 00:00:00+00:00,0,0,0,0
2009-04-30 00:00:00+00:00,0,0,0,0
2009-05-01 00:00:00+00:00,0,0,0,0
2009-05-02 00:00:00+00:00,0,0,0,0
2009-05-03 00:00:00+00:00,0,0,0,0
2009-05-04 00:00:00+00:00,0,0,0,0
2009-05-05 00:00:00+00:00,0,0,0,0
2009-05-06 00:00:00+00:00,0,0,0,0
2009-05-07 00:00:00+00:00,0,0,0,0
2009-05-08 00:00:00+00:00,0,0,0,0
2009-05-09 00:00:00+00:00,0,0,0,0
2009-05-10 00:00:00+00:00,0,0,0,0
2009-05-11 00:00:00+00:00,0,0,0,0
2009-05-12 00:00:00+00:00,0,0,0,0
2009-05-13 00:00:00+00:00,0,0,0,0
2009-05-14 00:00:00+00:00,0,0,0,0
2009-05-15 00:00:00+00:00,0,0,0,0
2009-05-16 00:00:00+00:00,0,0,0,0
2009-05-17 00:00:00+00:00,0,0,0,0
2009-05-18 00:00:00+00:00,0,0,0,0
2009-05-19 00:00:00+00:00,0,0,0,0
2009-05-20 00:00:00+00:00,0,0,0,0
2009-05-21 00:00:00+00:00,0,0,0,0
2009-05-22 00:00:00+00:00,0,0,0,0
2009-05-23 00:00:00+00:00,0,0,0,0
2009-05-24 00:00:00+00:00,0,0,0,0
2009-05-25 00:00:00+00:00,0,0,0,0
2009-05-26 00:00:00+00:00,0,0,0,0
2009-05-27 00:00:00+00:00,0,0,0,0
2009-05-28 00:00:00+00:00,0,0,0,0
2009-05-29 00:00:00+00:00,0,0,0,0
2009-05-30 00:00:00+00:00,0,0,0,0
2009-05-31 00:00:00+00:00,0,0,0,0
2009-06-01 00:00:00+00:00,0,0,0,0
2009-06-02 00:00:00+00:00,0,0,0,0
2009-06-03 00:00:00+00:00,0,0,0,0
2009-06-04 00:00:00+00:00,0,0,0,0
2009-06-05 00:00:00+00:00,0,0,0,0
2009-06-06 00:00:00+00:00,0,0,0,0
2009-06-07 00:00:00+00:00,0,0,0,0
2009-06-08 00:00:00+00:00,0,0,0,0
2009-06-09 00:00:00+00:00,0,0,0,0
2009-06-10 00:00:00+00:00,0,0,0,0
2009-06-11 00:00:00+00:00,0,0,0,0
2009-06-12 00:00:00+00:00,0,0,0,0
2009-06-13 00:00:00+00:00,0,0,0,0
2009-06-14 00:00:00+00:00,0,0,0,0
2009-06-15 00:00:00+00:00,0,0,0,0
2009-06-16 00:00:00+00:00,0,0,0,0
2009-06-17 00:00:00+00:00,0,0,0,0
